OD,-264.6691,-153.30554,0.0,0.6,0.6,0
OD,-201.75592,-138.11963,0.0,0.6,0.6,0
OD,-145.35104,-125.82626,0.0,0.3,0.3,0
OD,32.5413,-86.053604,0.0,0.6,0.6,1
OD,180.78487,-67.97511,0.0,0.6,0.6,1
OD,374.58627,-80.26846,0.0,0.3,0.3,1
OD,419.42096,161.98322,0.0,0.3,0.3,1
OD,216.94186,146.79733,0.0,0.6,0.6,1
OD,7.954527,127.99568,0.0,0.6,0.6,1
OD,-169.93779,117.14858,0.0,0.3,0.3,0
OD,-274.0699,65.08256,0.0,0.6,0.6,0
OD,-321.07394,10.847098,0.0,0.6,0.6,0
OD,-238.63606,-23.863598,0.0,1.0,1.0,2
OD,-207.54105,-27.47931,0.0,1.0,1.0,2
OD,-217.665,-10.12396,0.0,1.0,1.0,2
OD,-7.2313886,10.847098,0.0,1.0,1.0,2
OD,-7.954527,33.264416,0.0,1.0,1.0,2
OD,78.82218,20.24792,0.0,1.0,1.0,2
OD,86.05363,51.342903,0.0,1.0,1.0,2
OD,167.76837,29.648705,0.0,1.0,1.0,2
OD,169.93779,57.12801,0.0,1.0,1.0,2
